"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"1","5","alpha-1-B glycoprotein","A1BG","protein-coding gene"
"2","7","alpha-2-macroglobulin","A2M","protein-coding gene"
"3","8","alpha-2-macroglobulin pseudogene 1","A2MP1","pseudogene"
"11","15","N-acetyltransferase pseudogene","NATP","pseudogene"
"12","16","serpin family A member 3","SERPINA3","protein-coding gene"
"13","17","arylacetamide deacetylase","AADAC","protein-coding gene"
"14","18","angio associated migratory cell protein","AAMP","protein-coding gene"
"15","19","aralkylamine N-acetyltransferase","AANAT","protein-coding gene"
"16","20","alanyl-tRNA synthetase","AARS","protein-coding gene"
"9625","21","apoptosis associated tyrosine kinase","AATK","protein-coding gene"
"17","22","adeno-associated virus integration site 1","AAVS1","other"
"18","23","4-aminobutyrate aminotransferase","ABAT","protein-coding gene"
"19","29","ATP binding cassette subfamily A member 1","ABCA1","protein-coding gene"
"10349","30","ATP binding cassette subfamily A member 10","ABCA10","protein-coding gene"
"79963","31","ATP binding cassette subfamily A member 11, pseudogene","ABCA11P","pseudogene"
"20","32","ATP binding cassette subfamily A member 2","ABCA2","protein-coding gene"
"21","33","ATP binding cassette subfamily A member 3","ABCA3","protein-coding gene"
"24","34","ATP binding cassette subfamily A member 4","ABCA4","protein-coding gene"
"23461","35","ATP binding cassette subfamily A member 5","ABCA5","protein-coding gene"
"23460","36","ATP binding cassette subfamily A member 6","ABCA6","protein-coding gene"
"10347","37","ATP binding cassette subfamily A member 7","ABCA7","protein-coding gene"
"10351","38","ATP binding cassette subfamily A member 8","ABCA8","protein-coding gene"
"10350","39","ATP binding cassette subfamily A member 9","ABCA9","protein-coding gene"
"5243","40","ATP binding cassette subfamily B member 1","ABCB1","protein-coding gene"
"23456","41","ATP binding cassette subfamily B member 10","ABCB10","protein-coding gene"
"8647","42","ATP binding cassette subfamily B member 11","ABCB11","protein-coding gene"
"6890","43","transporter 1, ATP binding cassette subfamily B member","TAP1","protein-coding gene"
"6891","44","transporter 2, ATP binding cassette subfamily B member","TAP2","protein-coding gene"
"5244","45","ATP binding cassette subfamily B member 4","ABCB4","protein-coding gene"
"340273","46","ATP binding cassette subfamily B member 5","ABCB5","protein-coding gene"
"10058","47","ATP binding cassette subfamily B member 6 (Langereis blood group)","ABCB6","protein-coding gene"
"22","48","ATP binding cassette subfamily B member 7","ABCB7","protein-coding gene"
"11194","49","ATP binding cassette subfamily B member 8","ABCB8","protein-coding gene"
"23457","50","ATP binding cassette subfamily B member 9","ABCB9","protein-coding gene"
"4363","51","ATP binding cassette subfamily C member 1","ABCC1","protein-coding gene"
"89845","52","ATP binding cassette subfamily C member 10","ABCC10","protein-coding gene"
"1244","53","ATP binding cassette subfamily C member 2","ABCC2","protein-coding gene"
"8714","54","ATP binding cassette subfamily C member 3","ABCC3","protein-coding gene"
"10257","55","ATP binding cassette subfamily C member 4","ABCC4","protein-coding gene"
"10057","56","ATP binding cassette subfamily C member 5","ABCC5","protein-coding gene"
"368","57","ATP binding cassette subfamily C member 6","ABCC6","protein-coding gene"
"6833","59","ATP binding cassette subfamily C member 8","ABCC8","protein-coding gene"
"10060","60","ATP binding cassette subfamily C member 9","ABCC9","protein-coding gene"
"215","61","ATP binding cassette subfamily D member 1","ABCD1","protein-coding gene"
"23785","62","ATP binding cassette subfamily D member 1 pseudogene 1","ABCD1P1","pseudogene"
"26983","63","ATP binding cassette subfamily D member 1 pseudogene 2","ABCD1P2","pseudogene"
"26982","64","ATP binding cassette subfamily D member 1 pseudogene 3","ABCD1P3","pseudogene"
"26957","65","ATP binding cassette subfamily D member 1 pseudogene 4","ABCD1P4","pseudogene"
"225","66","ATP binding cassette subfamily D member 2","ABCD2","protein-coding gene"
"5825","67","ATP binding cassette subfamily D member 3","ABCD3","protein-coding gene"
"5826","68","ATP binding cassette subfamily D member 4","ABCD4","protein-coding gene"
"6059","69","ATP binding cassette subfamily E member 1","ABCE1","protein-coding gene"
"23","70","ATP binding cassette subfamily F member 1","ABCF1","protein-coding gene"
"10061","71","ATP binding cassette subfamily F member 2","ABCF2","protein-coding gene"
"55324","72","ATP binding cassette subfamily F member 3","ABCF3","protein-coding gene"
"9619","73","ATP binding cassette subfamily G member 1","ABCG1","protein-coding gene"
"9429","74","ATP binding cassette subfamily G member 2 (Junior blood group)","ABCG2","protein-coding gene"
"25","76","ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL1","protein-coding gene"
"27","77","ABL proto-oncogene 2, non-receptor tyrosine kinase","ABL2","protein-coding gene"
"3983","78","actin binding LIM protein 1","ABLIM1","protein-coding gene"
"28","79","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","ABO","protein-coding gene"
"26","80","amine oxidase, copper containing 1","AOC1","protein-coding gene"
"29","81","active BCR-related","ABR","protein-coding gene"
"30","82","acetyl-CoA acyltransferase 1","ACAA1","protein-coding gene"
"10449","83","acetyl-CoA acyltransferase 2","ACAA2","protein-coding gene"
"31","84","acetyl-CoA carboxylase alpha","ACACA","protein-coding gene"
"32","85","acetyl-CoA carboxylase beta","ACACB","protein-coding gene"
"27034","87","acyl-CoA dehydrogenase family member 8","ACAD8","protein-coding gene"
"33","88","acyl-CoA dehydrogenase, long chain","ACADL","protein-coding gene"
"34","89","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","ACADM","protein-coding gene"
"35","90","acyl-CoA dehydrogenase, C-2 to C-3 short chain","ACADS","protein-coding gene"
"36","91","acyl-CoA dehydrogenase, short/branched chain","ACADSB","protein-coding gene"
"37","92","acyl-CoA dehydrogenase, very long chain","ACADVL","protein-coding gene"
"38","93","acetyl-CoA acetyltransferase 1","ACAT1","protein-coding gene"
"39","94","acetyl-CoA acetyltransferase 2","ACAT2","protein-coding gene"
"9197","95","solute carrier family 33 member 1","SLC33A1","protein-coding gene"
"40","99","acid sensing ion channel subunit 2","ASIC2","protein-coding gene"
"41","100","acid sensing ion channel subunit 1","ASIC1","protein-coding gene"
"9311","101","acid sensing ion channel subunit 3","ASIC3","protein-coding gene"
"26507","102","cyclin and CBS domain divalent metal cation transport mediator 1","CNNM1","protein-coding gene"
"54805","103","cyclin and CBS domain divalent metal cation transport mediator 2","CNNM2","protein-coding gene"
"26505","104","cyclin and CBS domain divalent metal cation transport mediator 3","CNNM3","protein-coding gene"
"26504","105","cyclin and CBS domain divalent metal cation transport mediator 4","CNNM4","protein-coding gene"
"43","108","acetylcholinesterase (Cartwright blood group)","ACHE","protein-coding gene"
"46","114","acrocallosal syndrome","ACLS","phenotype"
"47","115","ATP citrate lyase","ACLY","protein-coding gene"
"48","117","aconitase 1","ACO1","protein-coding gene"
"50","118","aconitase 2","ACO2","protein-coding gene"
"51","119","acyl-CoA oxidase 1","ACOX1","protein-coding gene"
"8309","120","acyl-CoA oxidase 2","ACOX2","protein-coding gene"
"8310","121","acyl-CoA oxidase 3, pristanoyl","ACOX3","protein-coding gene"
"52","122","acid phosphatase 1, soluble","ACP1","protein-coding gene"
"53","123","acid phosphatase 2, lysosomal","ACP2","protein-coding gene"
"54","124","acid phosphatase 5, tartrate resistant","ACP5","protein-coding gene"
"55","125","acid phosphatase, prostate","ACPP","protein-coding gene"
"49","126","acrosin","ACR","protein-coding gene"
"56","127","acrosomal vesicle protein 1","ACRV1","protein-coding gene"
"58","129","actin, alpha 1, skeletal muscle","ACTA1","protein-coding gene"
"59","130","actin, alpha 2, smooth muscle, aorta","ACTA2","protein-coding gene"
"60","132","actin beta","ACTB","protein-coding gene"
"23784","133","POTE ankyrin domain family member H","POTEH","protein-coding gene"
"643309","134","actin, beta pseudogene 1","ACTBP1","pseudogene"
"62","135","actin, beta pseudogene 2","ACTBP2","pseudogene"
"63","136","actin, beta pseudogene 3","ACTBP3","pseudogene"
"64","137","actin, beta pseudogene 4","ACTBP4","pseudogene"
"66","139","actin, beta pseudogene 6","ACTBP6","pseudogene"
"67","140","actin, beta pseudogene 7","ACTBP7","pseudogene"
"68","141","actin, beta pseudogene 8","ACTBP8","pseudogene"
"69","142","actin, beta pseudogene 9","ACTBP9","pseudogene"
"70","143","actin, alpha, cardiac muscle 1","ACTC1","protein-coding gene"
"71","144","actin gamma 1","ACTG1","protein-coding gene"
"72","145","actin, gamma 2, smooth muscle, enteric","ACTG2","protein-coding gene"
"73","146","actin gamma 1 pseudogene 1","ACTG1P1","pseudogene"
"74","147","actin gamma 1 pseudogene 2","ACTG1P2","pseudogene"
"75","148","actin gamma 1 pseudogene 3","ACTG1P3","pseudogene"
"648740","149","actin gamma 1 pseudogene 4","ACTG1P4","pseudogene"
"100462767","150","actin, beta pseudogene 12","ACTBP12","pseudogene"
"78","151","actin gamma 1 pseudogene 6","ACTG1P6","pseudogene"
"79","152","actin gamma 1 pseudogene 7","ACTG1P7","pseudogene"
"80","153","actin gamma 1 pseudogene 8","ACTG1P8","pseudogene"
"82","154","actin gamma 1 pseudogene 9","ACTG1P9","pseudogene"
"83","155","actin gamma 1 pseudogene 10","ACTG1P10","pseudogene"
"51412","160","actin like 6B","ACTL6B","protein-coding gene"
"10881","161","actin like 7A","ACTL7A","protein-coding gene"
"10880","162","actin like 7B","ACTL7B","protein-coding gene"
"87","163","actinin alpha 1","ACTN1","protein-coding gene"
"88","164","actinin alpha 2","ACTN2","protein-coding gene"
"89","165","actinin alpha 3 (gene/pseudogene)","ACTN3","protein-coding gene"
"81","166","actinin alpha 4","ACTN4","protein-coding gene"
"10121","167","ARP1 actin related protein 1 homolog A","ACTR1A","protein-coding gene"
"10120","168","ARP1 actin related protein 1 homolog B","ACTR1B","protein-coding gene"
"10097","169","ARP2 actin related protein 2 homolog","ACTR2","protein-coding gene"
"10096","170","ARP3 actin related protein 3 homolog","ACTR3","protein-coding gene"
"90","171","activin A receptor type 1","ACVR1","protein-coding gene"
"91","172","activin A receptor type 1B","ACVR1B","protein-coding gene"
"92","173","activin A receptor type 2A","ACVR2A","protein-coding gene"
"93","174","activin A receptor type 2B","ACVR2B","protein-coding gene"
"94","175","activin A receptor like type 1","ACVRL1","protein-coding gene"
"95","177","aminoacylase 1","ACY1","protein-coding gene"
"97","179","acylphosphatase 1","ACYP1","protein-coding gene"
"98","180","acylphosphatase 2","ACYP2","protein-coding gene"
"8081","185","Alzheimer disease 5","AD5","phenotype"
"100","186","adenosine deaminase","ADA","protein-coding gene"
"8759","187","ADAM metallopeptidase domain 1A (pseudogene)","ADAM1A","pseudogene"
"102","188","ADAM metallopeptidase domain 10","ADAM10","protein-coding gene"
"4185","189","ADAM metallopeptidase domain 11","ADAM11","protein-coding gene"
"8038","190","ADAM metallopeptidase domain 12","ADAM12","protein-coding gene"
"8751","193","ADAM metallopeptidase domain 15","ADAM15","protein-coding gene"
"6868","195","ADAM metallopeptidase domain 17","ADAM17","protein-coding gene"
"8749","196","ADAM metallopeptidase domain 18","ADAM18","protein-coding gene"
"8728","197","ADAM metallopeptidase domain 19","ADAM19","protein-coding gene"
"2515","198","ADAM metallopeptidase domain 2","ADAM2","protein-coding gene"
"8748","199","ADAM metallopeptidase domain 20","ADAM20","protein-coding gene"
"8747","200","ADAM metallopeptidase domain 21","ADAM21","protein-coding gene"
"53616","201","ADAM metallopeptidase domain 22","ADAM22","protein-coding gene"
"8745","202","ADAM metallopeptidase domain 23","ADAM23","protein-coding gene"
"646479","203","ADAM metallopeptidase domain 24, pseudogene","ADAM24P","pseudogene"
"10863","206","ADAM metallopeptidase domain 28","ADAM28","protein-coding gene"
"11086","207","ADAM metallopeptidase domain 29","ADAM29","protein-coding gene"
"11085","208","ADAM metallopeptidase domain 30","ADAM30","protein-coding gene"
"1587","209","ADAM metallopeptidase domain 3A (pseudogene)","ADAM3A","pseudogene"
"1596","210","ADAM metallopeptidase domain 3B (pseudogene)","ADAM3B","pseudogene"
"255926","212","ADAM metallopeptidase domain 5 (pseudogene)","ADAM5","pseudogene"
"8755","213","ADAM metallopeptidase domain 6 (pseudogene)","ADAM6","pseudogene"
"8756","214","ADAM metallopeptidase domain 7","ADAM7","protein-coding gene"
"101","215","ADAM metallopeptidase domain 8","ADAM8","protein-coding gene"
"8754","216","ADAM metallopeptidase domain 9","ADAM9","protein-coding gene"
"9510","217","ADAM metallopeptidase with thrombospondin type 1 motif 1","ADAMTS1","protein-coding gene"
"9509","218","ADAM metallopeptidase with thrombospondin type 1 motif 2","ADAMTS2","protein-coding gene"
"9508","219","ADAM metallopeptidase with thrombospondin type 1 motif 3","ADAMTS3","protein-coding gene"
"9507","220","ADAM metallopeptidase with thrombospondin type 1 motif 4","ADAMTS4","protein-coding gene"
"11096","221","ADAM metallopeptidase with thrombospondin type 1 motif 5","ADAMTS5","protein-coding gene"
