gene_id,seqid,gene_type_raw,gene_name,mgi_id,gene_type
ENSMUSG00000102693.1,chr1,TEC,4933401J01Rik,MGI:1918292,TEC
ENSMUSG00000064842.1,chr1,snRNA,Gm26206,MGI:5455983,snRNA
ENSMUSG00000051951.5,chr1,protein_coding,Xkr4,MGI:3528744,protein-coding gene
ENSMUSG00000102851.1,chr1,processed_pseudogene,Gm18956,MGI:5011141,pseudogene
ENSMUSG00000103377.1,chr1,TEC,Gm37180,MGI:5610408,TEC
ENSMUSG00000104017.1,chr1,TEC,Gm37363,MGI:5610591,TEC
ENSMUSG00000103025.1,chr1,TEC,Gm37686,MGI:5610914,TEC
ENSMUSG00000089699.1,chr1,lncRNA,Gm1992,MGI:3780162,lncRNA
ENSMUSG00000103201.1,chr1,TEC,Gm37329,MGI:5610557,TEC
ENSMUSG00000103147.1,chr1,processed_pseudogene,Gm7341,MGI:3648497,pseudogene
ENSMUSG00000103161.1,chr1,TEC,Gm38148,MGI:5611376,TEC
ENSMUSG00000102331.1,chr1,lncRNA,Gm19938,MGI:5012123,lncRNA
ENSMUSG00000102348.1,chr1,TEC,Gm10568,MGI:3642703,TEC
ENSMUSG00000102592.1,chr1,TEC,Gm38385,MGI:5611613,TEC
ENSMUSG00000088333.2,chr1,snRNA,Gm27396,MGI:5530778,snRNA
ENSMUSG00000102343.1,chr1,lncRNA,Gm37381,MGI:5610609,lncRNA
ENSMUSG00000025900.12,chr1,protein_coding,Rp1,MGI:1341105,protein-coding gene
ENSMUSG00000102948.1,chr1,processed_pseudogene,Gm6101,MGI:3644986,pseudogene
ENSMUSG00000104123.1,chr1,TEC,Gm37483,MGI:5610711,TEC
ENSMUSG00000025902.13,chr1,protein_coding,Sox17,MGI:107543,protein-coding gene
ENSMUSG00000104238.1,chr1,lncRNA,Gm37587,MGI:5610815,lncRNA
ENSMUSG00000102269.1,chr1,processed_pseudogene,Gm7357,MGI:3643257,pseudogene
ENSMUSG00000096126.1,chr1,snRNA,Gm22307,MGI:5452084,snRNA
ENSMUSG00000103003.1,chr1,processed_pseudogene,Gm38076,MGI:5611304,pseudogene
ENSMUSG00000104328.1,chr1,lncRNA,Gm37323,MGI:5610551,lncRNA
ENSMUSG00000102735.1,chr1,processed_pseudogene,Gm7369,MGI:3643485,pseudogene
ENSMUSG00000098104.1,chr1,processed_pseudogene,Gm6085,MGI:3646770,pseudogene
ENSMUSG00000102175.1,chr1,processed_pseudogene,Gm6119,MGI:3644547,pseudogene
ENSMUSG00000088000.1,chr1,snRNA,Gm25493,MGI:5455270,snRNA
ENSMUSG00000103265.1,chr1,processed_pseudogene,Gm2053,MGI:3780221,pseudogene
ENSMUSG00000103922.1,chr1,processed_pseudogene,Gm6123,MGI:3647047,pseudogene
ENSMUSG00000033845.13,chr1,protein_coding,Mrpl15,MGI:1351639,protein-coding gene
ENSMUSG00000102275.1,chr1,TEC,Gm37144,MGI:5610372,TEC
ENSMUSG00000025903.14,chr1,protein_coding,Lypla1,MGI:1344588,protein-coding gene
ENSMUSG00000104217.1,chr1,protein_coding,Gm37988,MGI:5611216,protein-coding gene
ENSMUSG00000033813.15,chr1,protein_coding,Tcea1,MGI:1196624,protein-coding gene
ENSMUSG00000062588.4,chr1,processed_pseudogene,Gm6104,MGI:3648587,pseudogene
ENSMUSG00000103280.1,chr1,TEC,Gm37277,MGI:5610505,TEC
ENSMUSG00000002459.17,chr1,protein_coding,Rgs20,MGI:1929866,protein-coding gene
ENSMUSG00000091305.1,chr1,processed_pseudogene,Gm17100,MGI:4937927,pseudogene
ENSMUSG00000102653.1,chr1,TEC,Gm37079,MGI:5610307,TEC
ENSMUSG00000085623.1,chr1,lncRNA,Gm16041,MGI:3801909,lncRNA
ENSMUSG00000091665.1,chr1,processed_pseudogene,Gm17101,MGI:4937928,pseudogene
ENSMUSG00000033793.12,chr1,protein_coding,Atp6v1h,MGI:1914864,protein-coding gene
ENSMUSG00000104352.1,chr1,processed_pseudogene,Gm7182,MGI:3644877,pseudogene
ENSMUSG00000104046.1,chr1,TEC,Gm37567,MGI:5610795,TEC
ENSMUSG00000102907.1,chr1,TEC,Gm38264,MGI:5611492,TEC
ENSMUSG00000025905.14,chr1,protein_coding,Oprk1,MGI:97439,protein-coding gene
ENSMUSG00000103936.1,chr1,processed_pseudogene,Gm36965,MGI:5610193,pseudogene
